,log_dir,frame_per_second,episode_reward,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time
0,/content/gdrive/MyDrive/cs269/CartPole-v0/ppo,1379,21.89,-0.019072589414337506,0.6849247352435038,29.251711397904614,29.232638904375907,18.718347549438477,8.372468948364258,0.9978452862073214,20000,919,0,14.50258755683899
1,/content/gdrive/MyDrive/cs269/CartPole-v0/ppo,1384,33.56,-0.018349869114657243,0.6562538439646746,33.96468587777554,33.94633589769021,31.299570083618164,7.728094577789307,0.9999306158377574,40000,1519,1,28.900877475738525
2,/content/gdrive/MyDrive/cs269/CartPole-v0/ppo,1420,73.03,-0.015784373658094316,0.6201404788555243,44.16618852370824,44.15040443616036,38.817779541015625,8.183293342590332,1.0007481662126687,60000,1818,2,42.234999656677246
3,/content/gdrive/MyDrive/cs269/CartPole-v0/ppo,1425,107.15,-0.013282066378563356,0.5853597916853733,38.919546824235184,38.906264681693834,40.621734619140625,7.302595138549805,0.9997649016288611,80000,2008,3,56.10169196128845
4,/content/gdrive/MyDrive/cs269/CartPole-v0/ppo,1435,160.14,-0.007843835817841002,0.5589283356299767,34.759421267876256,34.75157742133507,40.73056411743164,6.643924236297607,1.0005782350515708,100000,2136,4,69.64218044281006
5,/content/gdrive/MyDrive/cs269/CartPole-v0/ppo,1441,179.89,-0.004765372094101249,0.5406133983379755,33.158344073173325,33.15357864575508,37.37077331542969,5.410748481750488,1.0006003881112122,120000,2247,5,83.26074576377869
6,/content/gdrive/MyDrive/cs269/CartPole-v0/ppo,1446,188.5,-0.0021732613038367185,0.5281012393725224,35.104694405580176,35.10252104539138,33.96847915649414,3.900024890899658,1.000383670666279,140000,2352,6,96.79186820983887
7,/content/gdrive/MyDrive/cs269/CartPole-v0/ppo,1452,182.39,-0.0034074683327418873,0.515977461139361,29.959571658647977,29.956164093506644,31.612855911254883,2.6924428939819336,0.9997117479642232,160000,2462,7,110.14463639259338
8,/content/gdrive/MyDrive/cs269/CartPole-v0/ppo,1440,185.45,-0.0032399343255047615,0.5049176896229769,20.04489566729619,20.041655661509587,28.607484817504883,2.1643824577331543,0.9996785110388047,180000,2569,8,124.95660138130188
9,/content/gdrive/MyDrive/cs269/CartPole-v0/ppo,1443,196.93,-0.0025260948799908736,0.49190805008014044,31.382186149939514,31.37966008675404,30.130718231201172,1.2605429887771606,0.999698937474153,200000,2670,9,138.52403688430786
10,/content/gdrive/MyDrive/cs269/CartPole-v0/ppo,1442,197.25,-0.002163498018545887,0.4773506976090945,53.45674033531776,53.454576978928,36.9783821105957,-0.2735658288002014,0.9995808308705305,220000,2772,10,152.53272223472595
